"","X","eta","max_depth","gamma","colsample_bytree","min_child_weight","subsample","nrounds","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD"
"30",17,0.001,8,0,0.8,3,1,2900,0.794324532079481,0.475480570335568,0.74257809929859,0.00360086473898247,0.0171058934083826,0.00313816317681906
"31",3,0.001,8,0,0.6,3,0.5,3400,0.582262271500801,0.476570219466142,0.507975141724345,0.00526231733562578,0.0170527755191651,0.00319882828025624
"32",6,0.001,8,0,0.6,3,0.75,3400,0.581339881184992,0.478511406129875,0.507427855989264,0.00528486953931059,0.0171278976586887,0.00321486415708931
"33",9,0.001,8,0,0.6,3,1,3400,0.580863834168513,0.479395385662739,0.507126054331855,0.00528255765391498,0.0171080485610112,0.00322441419435132
"34",12,0.001,8,0,0.8,3,0.5,3400,0.582020151134248,0.477142327732107,0.507930449187461,0.00525463208784198,0.0170497527338373,0.00320158413627108
"35",15,0.001,8,0,0.8,3,0.75,3400,0.581199488079523,0.478702761499486,0.507415460916716,0.00527520026378699,0.0171067920383323,0.00321381106206694
"36",18,0.001,8,0,0.8,3,1,3400,0.580880164486432,0.479015175346007,0.507152261521998,0.0052583940334006,0.0171411198146944,0.00318922146047354
"37",1,0.001,8,0,0.6,3,0.5,3800,0.493952780679314,0.479053558779908,0.399870039472143,0.00666736586200407,0.0169825802880866,0.00344967268240079
"38",4,0.001,8,0,0.6,3,0.75,3800,0.493163054048379,0.480611221077994,0.399263661839854,0.00668165482509155,0.0170313872172339,0.00346492389391102
"39",7,0.001,8,0,0.6,3,1,3800,0.492766841487824,0.48127509674383,0.398914037223608,0.00670264369025527,0.0170962144308642,0.00349271776477408
"40",10,0.001,8,0,0.8,3,0.5,3800,0.493773911009979,0.479382220822085,0.399765497479504,0.00667818170159275,0.0170108604183808,0.00346767173815883
"41",13,0.001,8,0,0.8,3,0.75,3800,0.493100786002853,0.480577352825953,0.399229878791822,0.0067184133298646,0.0171191691647641,0.00350006019295389
"42",16,0.001,8,0,0.8,3,1,3800,0.492940881624192,0.480535531144017,0.39901137142802,0.0067487195289963,0.0171948504273719,0.0035125522503274
"43",2,0.001,8,0,0.6,3,0.5,4000,0.467160710621104,0.480082381230701,0.363616758691359,0.00734705474862971,0.0169984486705158,0.0035343999069762
"44",5,0.001,8,0,0.6,3,0.75,4000,0.466432592793473,0.481512940058758,0.362987653201055,0.0073656270469626,0.0170478351019885,0.00355535098321571
"45",8,0.001,8,0,0.6,3,1,4000,0.466085322641932,0.482077052586639,0.362609317929121,0.00738989618314771,0.0171196615606007,0.00358885005558488
"46",11,0.001,8,0,0.8,3,0.5,4000,0.467010960059861,0.480321715406402,0.363486926247237,0.00735885405871185,0.0170258664242406,0.00355706474229092
"47",14,0.001,8,0,0.8,3,0.75,4000,0.466403637502548,0.481407694334606,0.362952417486685,0.00740285384967466,0.0171321974170003,0.00359008577643978
"48",17,0.001,8,0,0.8,3,1,4000,0.466317479435024,0.481240030121076,0.362765652146894,0.00743790285715371,0.0172149522282435,0.00359835936940514
"49",3,0.001,8,0,0.6,3,0.5,4300,0.440959462296989,0.481358667038676,0.324771256580053,0.00817990135987796,0.0170136319678828,0.00359449891076621
"50",6,0.001,8,0,0.6,3,0.75,4300,0.440325004289816,0.482629758529444,0.324125937336605,0.00820068771452773,0.0170638379351461,0.00361673465947297
"51",9,0.001,8,0,0.6,3,1,4300,0.440055117061348,0.483042646716945,0.323753145359087,0.00822613494393365,0.017132729167507,0.00365884267598518
"52",12,0.001,8,0,0.8,3,0.5,4300,0.440847205479765,0.48150674788871,0.324635293271877,0.00819559642438038,0.0170484740984197,0.00361970319751899
