NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE
GLENDALE                 ,01 ONE FAMILY HOMES                        ,101,"$190,000 ","$467,405 ","$460,000 ","$820,000 "
GLENDALE                 ,02 TWO FAMILY HOMES                        ,174,"$170,000 ","$538,057 ","$542,500 ","$1,460,000 "
GLENDALE                 ,03 THREE FAMILY HOMES                      ,18,"$497,760 ","$675,978 ","$640,000 ","$989,000 "
HAMMELS                  ,01 ONE FAMILY HOMES                        ,21,"$160,000 ","$307,476 ","$300,000 ","$491,790 "
HAMMELS                  ,02 TWO FAMILY HOMES                        ,33,"$160,000 ","$409,392 ","$425,000 ","$646,588 "
HAMMELS                  ,03 THREE FAMILY HOMES                      ,11,"$325,000 ","$482,922 ","$479,000 ","$685,000 "
HILLCREST                ,01 ONE FAMILY HOMES                        ,34,"$175,000 ","$544,515 ","$537,000 ","$920,000 "
HILLCREST                ,02 TWO FAMILY HOMES                        ,10,"$350,000 ","$510,000 ","$511,000 ","$670,000 "
HILLCREST                ,03 THREE FAMILY HOMES                      ,12,"$997,000 ","$997,917 ","$998,000 ","$998,000 "
HOLLIS                   ,01 ONE FAMILY HOMES                        ,368,"$150,000 ","$396,505 ","$398,450 ","$830,000 "
HOLLIS                   ,02 TWO FAMILY HOMES                        ,164,"$200,000 ","$508,511 ","$480,000 ","$1,650,000 "
HOLLIS                   ,03 THREE FAMILY HOMES                      ,7,"$375,000 ","$571,999 ","$605,000 ","$750,000 "
HOLLIS HILLS             ,01 ONE FAMILY HOMES                        ,37,"$280,000 ","$738,081 ","$753,000 ","$990,000 "
HOLLISWOOD               ,01 ONE FAMILY HOMES                        ,45,"$274,999 ","$792,459 ","$740,000 ","$1,625,000 "
HOLLISWOOD               ,02 TWO FAMILY HOMES                        ,7,"$485,000 ","$690,943 ","$750,000 ","$947,600 "
HOLLISWOOD               ,03 THREE FAMILY HOMES                      ,4,"$600,000 ","$770,000 ","$777,500 ","$925,000 "
HOWARD BEACH             ,01 ONE FAMILY HOMES                        ,128,"$161,000 ","$581,975 ","$632,500 ","$1,175,000 "
HOWARD BEACH             ,02 TWO FAMILY HOMES                        ,64,"$185,000 ","$622,416 ","$647,714 ","$885,000 "
HOWARD BEACH             ,03 THREE FAMILY HOMES                      ,5,"$487,500 ","$644,500 ","$650,000 ","$755,000 "
JACKSON HEIGHTS          ,01 ONE FAMILY HOMES                        ,160,"$203,000 ","$551,195 ","$548,500 ","$850,000 "
JACKSON HEIGHTS          ,02 TWO FAMILY HOMES                        ,217,"$165,000 ","$654,469 ","$650,000 ","$975,000 "
JACKSON HEIGHTS          ,03 THREE FAMILY HOMES                      ,73,"$208,333 ","$767,736 ","$785,000 ","$1,060,000 "
JAMAICA                  ,01 ONE FAMILY HOMES                        ,105,"$150,000 ","$450,138 ","$409,000 ","$999,000 "
JAMAICA                  ,02 TWO FAMILY HOMES                        ,132,"$278,000 ","$577,525 ","$573,400 ","$1,300,000 "
